model_name,evaluation_timestamp,test_samples,ecg_samples,eeg_samples,inference_time_ms,accuracy,precision,recall,f1_score,mcc,cohen_kappa,roc_auc,pr_auc
SVM,20250609_085825,5631,2816,2815,33892.95053482056,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simple_cnn,20250609_085825,5631,2816,2815,25599.842071533203,0.9996448232995916,0.9992900248491304,1.0,0.9996448863636364,0.9992898987881936,0.9992896466663916,0.99981266651865,0.999733787939324
cnn_lstm,20250609_085825,5631,2816,2815,2470.3471660614014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mlp,20250609_085825,5631,2816,2815,1239.9539947509766,0.9998224116497958,0.9996448863636364,1.0,0.9998224116497958,0.9996448863636364,0.999644823310793,1.0,1.0
tcn,20250609_085825,5631,2816,2815,4375.685930252075,0.9998224116497958,0.9996448863636364,1.0,0.9998224116497958,0.9996448863636364,0.999644823310793,1.0,1.0
dual_branch,20250609_085825,5631,2816,2815,3406.066417694092,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
