model_name,evaluation_timestamp,test_samples,ecg_samples,eeg_samples,inference_time_ms,accuracy,precision,recall,f1_score,mcc,cohen_kappa,roc_auc,pr_auc
SVM,20250609_004148,6273,896,5377,19364.579677581787,0.9998405866411604,1.0,0.999814022689232,0.9999070026969218,0.9993494898282648,0.9993492782465678,1.0,1.0
simple_cnn,20250609_004148,6273,896,5377,16840.25740623474,0.9998405866411604,0.9998140572703608,1.0,0.999907019990702,0.9993488847080167,0.9993486727325,1.0,1.0
cnn_lstm,20250609_004148,6273,896,5377,3328.078269958496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mlp,20250609_004148,6273,896,5377,1093.0447578430176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tcn,20250609_004148,6273,896,5377,3708.1668376922607,0.9998405866411604,0.9998140572703608,1.0,0.999907019990702,0.9993488847080167,0.9993486727325,1.0,1.0
dual_branch,20250609_004148,6273,896,5377,2082.756280899048,0.9996811732823211,0.9996281836772635,1.0,0.9998140572703608,0.9986975872441414,0.9986967391053684,1.0,1.0
