model,sample_fraction,sample_size,train_accuracy_mean,train_accuracy_std,val_accuracy_mean,val_accuracy_std,training_time_mean,training_time_std,samples_per_second
mlp,0.05,430,0.9813953340053558,0.004651159048080444,0.9980234801769257,0.00011649727821350098,4.902006983757019,2.0465441942214966,53.11798841620379
mlp,0.1,860,0.9953488409519196,0.0023255646228790283,0.9995349645614624,0.00023245811462402344,7.2629475593566895,0.32289743423461914,59.32186450435122
mlp,0.2,1720,0.9895348846912384,0.0023255646228790283,0.9997674822807312,0.00023251771926879883,4.78693151473999,1.0103123188018799,188.03162612225202
svm,0.05,430,1.0,0.0,0.9988373444791098,1.3517678421059998e-07,0.9940025806427002,0.007257223129272461,216.30875544972884
svm,0.1,860,1.0,0.0,0.9994186046511628,0.0005813953488372214,1.4728423357009888,0.138205885887146,294.54604342672746
svm,0.2,1720,1.0,0.0,0.9994186046511628,0.0005813953488372214,2.5775290727615356,0.20789110660552979,335.83759155789386
