model,sample_fraction,sample_size,train_accuracy_mean,train_accuracy_std,val_accuracy_mean,val_accuracy_std,training_time_mean,training_time_std,samples_per_second
mlp,0.05,1290,0.9926356673240662,0.001450252306637435,0.9995349645614624,0.0,15.25256617863973,2.4305035202090473,57.71729546276833
mlp,0.1,2580,0.9992248217264811,0.0002740669069168403,0.9993799328804016,5.4833055311961684e-05,11.577452739079794,3.1764377286841903,158.63985147491655
mlp,0.2,5160,0.9989341298739115,0.00036255643914732364,0.9998062252998352,0.000197598168618105,12.077096223831177,0.9919116886429252,286.8846103811831
simple_cnn,0.05,1290,1.0,0.0,0.9993024269739786,0.0002847992232206639,40.00637483596802,9.80206201003742,23.170053739317183
simple_cnn,0.1,2580,1.0,0.0,0.9998837312062582,2.8097899007262688e-08,42.70613384246826,10.493305816699184,42.93828444490475
simple_cnn,0.2,5160,0.9998062054316202,0.0002740669069168403,0.9998449881871542,5.480495741572258e-05,58.58537371953329,14.536118545630835,63.19930638551825
svm,0.05,1290,1.0,0.0,0.9996899765534294,0.00010959072603695782,5.465057214101155,0.46992431664639944,158.61196522037594
svm,0.1,2580,1.0,0.0,0.999767486920441,0.00018983877767198557,7.286988178888957,0.84784483561768,239.19702816612357
svm,0.2,5160,1.0,0.0,0.9999612448164942,5.4808106126140734e-05,12.621233463287354,0.5601236413951102,273.0792069564429
