model,sample_fraction,sample_size,train_accuracy_mean,train_accuracy_std,val_accuracy_mean,val_accuracy_std,training_time_mean,training_time_std,samples_per_second
mlp,0.05,430,0.9883720874786377,0.002325594425201416,0.9996511936187744,0.00011628866195678711,7.891649961471558,0.4814028739929199,27.345744548961356
mlp,0.1,860,0.9976744055747986,0.002325594425201416,0.9993023574352264,0.00046512484550476074,5.1939475536346436,0.16150522232055664,82.86879325478455
mlp,0.2,1720,0.9901162981987,0.002906978130340576,0.9993023574352264,0.00023260712623596191,5.474383115768433,0.6146755218505859,159.101159115694
mlp,0.5,4300,0.9988372027873993,0.00023254752159118652,0.9997674822807312,0.00023251771926879883,7.364124417304993,0.4617716073989868,293.1084571510057
svm,0.05,430,1.0,0.0,0.9988373444791098,1.3517678421059998e-07,0.9753214120864868,0.02881801128387451,220.6327721680246
svm,0.1,860,1.0,0.0,0.9994186046511628,0.0005813953488372214,1.4216958284378052,0.10888803005218506,304.2403891241547
svm,0.2,1720,1.0,0.0,0.9994186046511628,0.0005813953488372214,2.444935441017151,0.039157748222351074,351.83777816871464
svm,0.5,4300,1.0,0.0,1.0,0.0,5.025099158287048,0.11226046085357666,428.0658899849558
