model,sample_fraction,sample_size,train_accuracy_mean,train_accuracy_std,val_accuracy_mean,val_accuracy_std,training_time_mean,training_time_std,samples_per_second
mlp,0.05,1290,0.9965116381645203,0.0018988398968015365,0.9994574387868246,0.00010963800192633901,12.475158929824829,2.453813294707989,71.44442031696676
mlp,0.1,2580,0.9843023220698038,0.016897165654345906,0.9995349645614624,9.490062789971028e-05,9.011696577072144,1.9394005232443088,198.99195703163204
mlp,0.2,5160,0.9983527064323425,0.0011708422927738367,0.999922494093577,0.00010960990402733175,18.43911067644755,6.005286512699401,207.66533810878727
simple_cnn,0.05,1290,1.0,0.0,0.9998062451680502,5.4819000963169504e-05,30.521002928415935,6.800049828848953,29.53771765841041
simple_cnn,0.1,2580,1.0,0.0,0.9997674822807312,0.0001898499227880871,29.56050697962443,3.1112563724316784,58.791995817889735
simple_cnn,0.2,5160,1.0,0.0,0.9998837312062582,9.49249624336699e-05,42.06281121571859,4.323757708721958,82.72507146524687
svm,0.05,1290,1.0,0.0,0.9996899765534294,0.00010959072603695782,5.062209685643514,1.0198826685821711,178.31695811857446
svm,0.1,2580,1.0,0.0,0.999767486920441,0.00018983877767198557,7.492741982142131,0.17851687221728316,229.68764259880393
svm,0.2,5160,1.0,0.0,0.9999612448164942,5.4808106126140734e-05,12.894497871398926,0.5641789523649251,267.2767986554227
